Alert Time: [2025-12-29 19:54:00], Logged Time: [2025-12-30 01:57:08] | Action: EXIT | Entry: 25709.6875 | SL: 25703.1152512116 | TP: 25711.8782495961
Alert Time: [2025-12-29 20:08:00], Logged Time: [2025-12-30 02:08:01] | Action: BUY | Entry: 25724.625 | SL: 25717.3340064709 | TP: 25727.0553311764
Alert Time: [2025-12-29 20:08:00], Logged Time: [2025-12-30 02:08:01] | Action: EXIT | Entry: 25724.625 | SL: 25717.3340064709 | TP: 25727.0553311764
Alert Time: [2025-12-29 20:09:00], Logged Time: [2025-12-30 02:09:01] | Action: BUY | Entry: 25726.3125 | SL: 25718.9355667284 | TP: 25728.7714777572
Alert Time: [2025-12-29 20:09:00], Logged Time: [2025-12-30 02:12:14] | Action: EXIT | Entry: 25726.3125 | SL: 25718.9355667284 | TP: 25728.7714777572
Alert Time: [2025-12-29 20:18:00], Logged Time: [2025-12-30 02:18:00] | Action: BUY | Entry: 25717.0625 | SL: 25710.299343498 | TP: 25719.3168855007
Alert Time: [2025-12-29 20:18:00], Logged Time: [2025-12-30 02:18:22] | Action: EXIT | Entry: 25717.0625 | SL: 25710.299343498 | TP: 25719.3168855007
Alert Time: [2025-12-29 20:19:00], Logged Time: [2025-12-30 02:19:00] | Action: BUY | Entry: 25719.1875 | SL: 25712.4430339875 | TP: 25721.4356553375
Alert Time: [2025-12-29 20:19:00], Logged Time: [2025-12-30 02:19:00] | Action: EXIT | Entry: 25719.1875 | SL: 25712.4430339875 | TP: 25721.4356553375
Alert Time: [2025-12-29 20:32:00], Logged Time: [2025-12-30 02:32:01] | Action: BUY | Entry: 25710.625 | SL: 25704.2006799318 | TP: 25712.7664400227
Alert Time: [2025-12-29 20:33:04], Logged Time: [2025-12-30 02:45:40] | Action: EXIT | Entry: 25710.5625 | SL: 25704.1952742224 | TP: 25712.6849085925
Alert Time: [2025-12-29 20:49:01], Logged Time: [2025-12-30 02:49:01] | Action: BUY | Entry: 25706.0625 | SL: 25700.543419001 | TP: 25707.9021936663
Alert Time: [2025-12-29 20:49:01], Logged Time: [2025-12-30 02:58:37] | Action: EXIT | Entry: 25706.0625 | SL: 25700.543419001 | TP: 25707.9021936663
Alert Time: [2025-12-29 21:05:00], Logged Time: [2025-12-30 03:05:00] | Action: SELL | Entry: 25713.5 | SL: 25719.6564222042 | TP: 25711.4478592653
Alert Time: [2025-12-29 21:05:00], Logged Time: [2025-12-30 03:06:00] | Action: EXIT | Entry: 25713.5 | SL: 25719.6564222042 | TP: 25711.4478592653
Alert Time: [2025-12-29 21:06:00], Logged Time: [2025-12-30 03:06:01] | Action: SELL | Entry: 25711.875 | SL: 25717.8974818338 | TP: 25709.8675060554
Alert Time: [2025-12-29 21:06:00], Logged Time: [2025-12-30 03:10:05] | Action: EXIT | Entry: 25711.875 | SL: 25717.8974818338 | TP: 25709.8675060554
Alert Time: [2025-12-29 21:37:01], Logged Time: [2025-12-30 03:37:02] | Action: SELL | Entry: 25734.8125 | SL: 25742.2925842675 | TP: 25732.3191385775
Alert Time: [2025-12-29 21:45:01], Logged Time: [2025-12-30 03:45:02] | Action: BUY | Entry: 25739.5625 | SL: 25733.1861865224 | TP: 25741.6879378259
Alert Time: [2025-12-29 21:45:01], Logged Time: [2025-12-30 03:45:04] | Action: EXIT | Entry: 25739.5625 | SL: 25733.1861865224 | TP: 25741.6879378259
Alert Time: [2025-12-29 21:51:01], Logged Time: [2025-12-30 03:51:03] | Action: BUY | Entry: 25736.25 | SL: 25730.3999679605 | TP: 25738.2000106798
Alert Time: [2025-12-29 21:51:01], Logged Time: [2025-12-30 03:51:40] | Action: EXIT | Entry: 25736.25 | SL: 25730.3999679605 | TP: 25738.2000106798
Alert Time: [2025-12-29 22:03:01], Logged Time: [2025-12-30 04:03:02] | Action: BUY | Entry: 25735.5 | SL: 25729.4959752613 | TP: 25737.5013415796
Alert Time: [2025-12-29 22:04:02], Logged Time: [2025-12-30 04:05:30] | Action: EXIT | Entry: 25736.0625 | SL: 25730.2234109459 | TP: 25738.008863018
Alert Time: [2025-12-29 22:24:00], Logged Time: [2025-12-30 04:24:01] | Action: BUY | Entry: 25742.3125 | SL: 25736.2830552104 | TP: 25744.3223149299
Alert Time: [2025-12-29 22:25:00], Logged Time: [2025-12-30 04:28:01] | Action: EXIT | Entry: 25742.5625 | SL: 25736.6690869811 | TP: 25744.5269710063
Alert Time: [2025-12-29 23:24:00], Logged Time: [2025-12-30 05:24:00] | Action: BUY | Entry: 25737.0625 | SL: 25731.8489460321 | TP: 25738.8003513226
Alert Time: [2025-12-29 23:24:00], Logged Time: [2025-12-30 05:27:38] | Action: EXIT | Entry: 25737.0625 | SL: 25731.8489460321 | TP: 25738.8003513226
Alert Time: [2025-12-29 23:29:00], Logged Time: [2025-12-30 05:29:01] | Action: BUY | Entry: 25738.25 | SL: 25733.3722502998 | TP: 25739.8759165668
Alert Time: [2025-12-29 23:29:00], Logged Time: [2025-12-30 05:30:27] | Action: EXIT | Entry: 25738.25 | SL: 25733.3722502998 | TP: 25739.8759165668
Alert Time: [2025-12-29 23:38:00], Logged Time: [2025-12-30 05:38:00] | Action: BUY | Entry: 25728.625 | SL: 25722.3004231621 | TP: 25730.7331922793
Alert Time: [2025-12-29 23:38:00], Logged Time: [2025-12-30 05:38:12] | Action: EXIT | Entry: 25728.625 | SL: 25722.3004231621 | TP: 25730.7331922793
Alert Time: [2025-12-29 23:39:00], Logged Time: [2025-12-30 05:39:01] | Action: BUY | Entry: 25731.1875 | SL: 25724.7676754606 | TP: 25733.3274415131
Alert Time: [2025-12-29 23:39:00], Logged Time: [2025-12-30 05:39:06] | Action: EXIT | Entry: 25731.1875 | SL: 25724.7676754606 | TP: 25733.3274415131
Alert Time: [2025-12-29 23:43:00], Logged Time: [2025-12-30 05:43:00] | Action: SELL | Entry: 25732.75 | SL: 25739.5612202791 | TP: 25730.4795932403
Alert Time: [2025-12-29 23:44:00], Logged Time: [2025-12-30 05:47:30] | Action: EXIT | Entry: 25732.4375 | SL: 25738.9764902592 | TP: 25730.2578365803
Alert Time: [2025-12-29 23:57:00], Logged Time: [2025-12-30 05:57:00] | Action: SELL | Entry: 25743.5625 | SL: 25749.6317484145 | TP: 25741.5394171952
Alert Time: [2025-12-29 23:57:00], Logged Time: [2025-12-30 05:58:40] | Action: EXIT | Entry: 25743.5625 | SL: 25749.6317484145 | TP: 25741.5394171952
Alert Time: [2025-12-30 00:17:02], Logged Time: [2025-12-30 06:17:02] | Action: SELL | Entry: 25730.75 | SL: 25736.7967170968 | TP: 25728.7344276344
